Player,Team,Salary,Color,Player,Team
2012,,$0,0,,
Kolkata Knight Riders,2012,$0,0,,
Royal Challengers Bangalore,2012,$0,0,,
Rajasthan Royals,2012,$0,0,,
Deccan Chargers,2012,$0,0,,
Pune Warriors,2012,$0,0,,
Delhi Daredevils,2012,$0,0,,
Mumbai Indians,2012,$0,0,,
Chennai Super Kings,2012,$0,0,,
Kings XI Punjab,2012,$0,0,,
DE Bollinger,Chennai Super Kings,"$700,000","700,000",DE Bollinger,Chennai Super Kings
DJ Bravo,Chennai Super Kings,"$200,000","200,000",DJ Bravo,Chennai Super Kings
JA Morkel,Chennai Super Kings,"$675,000","675,000",JA Morkel,Chennai Super Kings
MEK Hussey,Chennai Super Kings,"$425,000","425,000",MEK Hussey,Chennai Super Kings
MS Dhoni,Chennai Super Kings,"$1,500,000","1,500,000",MS Dhoni,Chennai Super Kings
R Ashwin,Chennai Super Kings,"$850,000","850,000",R Ashwin,Chennai Super Kings
RA Jadeja,Chennai Super Kings,"$2,000,000","2,000,000",RA Jadeja,Chennai Super Kings
S Badrinath,Chennai Super Kings,"$800,000","800,000",S Badrinath,Chennai Super Kings
SK Raina,Chennai Super Kings,"$650,000","650,000",SK Raina,Chennai Super Kings
WP Saha,Chennai Super Kings,"$100,000","100,000",WP Saha,Chennai Super Kings
A Mishra,Deccan Chargers,"$300,000","300,000",A Mishra,Deccan Chargers
CL White,Deccan Chargers,"$1,100,000","1,100,000",CL White,Deccan Chargers
DJ Harris,Deccan Chargers,"$70,000","70,000",DJ Harris,Deccan Chargers
DT Christian,Deccan Chargers,"$900,000","900,000",DT Christian,Deccan Chargers
DW Steyn,Deccan Chargers,"$1,200,000","1,200,000",DW Steyn,Deccan Chargers
JP Duminy,Deccan Chargers,"$300,000","300,000",JP Duminy,Deccan Chargers
KC Sangakkara,Deccan Chargers,"$700,000","700,000",KC Sangakkara,Deccan Chargers
MS Gony,Deccan Chargers,"$290,000","290,000",MS Gony,Deccan Chargers
PA Patel,Deccan Chargers,"$650,000","650,000",PA Patel,Deccan Chargers
S Dhawan,Deccan Chargers,"$300,000","300,000",S Dhawan,Deccan Chargers
AB Agarkar,Delhi Daredevils,"$210,000","210,000",AB Agarkar,Delhi Daredevils
AD Russell,Delhi Daredevils,"$450,000","450,000",AD Russell,Delhi Daredevils
AJ Finch,Delhi Daredevils,"$300,000","300,000",AJ Finch,Delhi Daredevils
DA Warner,Delhi Daredevils,"$750,000","750,000",DA Warner,Delhi Daredevils
DAJ Bracewell,Delhi Daredevils,"$50,000","50,000",DAJ Bracewell,Delhi Daredevils
DPMD Jayawardene,Delhi Daredevils,"$1,400,000","1,400,000",DPMD Jayawardene,Delhi Daredevils
IK Pathan,Delhi Daredevils,"$1,900,000","1,900,000",IK Pathan,Delhi Daredevils
KP Pietersen,Delhi Daredevils,"$1,550,000","1,550,000",KP Pietersen,Delhi Daredevils
LRPL Taylor,Delhi Daredevils,"$1,000,000","1,000,000",LRPL Taylor,Delhi Daredevils
M Morkel,Delhi Daredevils,"$475,000","475,000",M Morkel,Delhi Daredevils
NV Ojha,Delhi Daredevils,"$270,000","270,000",NV Ojha,Delhi Daredevils
RE van der Merwe,Delhi Daredevils,"$50,000","50,000",RE van der Merwe,Delhi Daredevils
