Player	Role	Country
Mohammad Nabi	Allrounder	Afghanistan
Mujeeb Ur Rahman	Bowler	Afghanistan
Rashid Khan	Bowler	Afghanistan
A Zampa	Bowler	Australia
AJ Tye	Bowler	Australia
AT Carey	Wicketkeeper batsman	Australia
B Laughlin	Bowler	Australia
B Stanlake	Bowler	Australia
DJM Short	Allrounder	Australia
GJ Maxwell	Allrounder	Australia
JP Faulkner	Allrounder	Australia
NJ Maddinson	Opening batsman	Australia
SA Abbott	Allrounder	Australia
A Symonds	Allrounder	Australia
AB McDonald	Allrounder	Australia
DJ Hussey	Allrounder	Australia
DT Christian	Allrounder	Australia
GB Hogg	Allrounder	Australia
JR Hopes	Allrounder	Australia
MC Henriques	Allrounder	Australia
SPD Smith	Allrounder	Australia
SR Watson	Allrounder	Australia
CA Lynn	Opening batsman	Australia
LA Pomersbach	Opening batsman	Australia
M Klinger	Opening batsman	Australia
SM Katich	Top-order batsman	Australia
TM Head	Middle-order batsman	Australia
B Lee	Bowler	Australia
BCJ Cutting	Bowler	Australia
DE Bollinger	Bowler	Australia
GD McGrath	Bowler	Australia
JL Pattinson	Bowler	Australia
KW Richardson	Bowler	Australia
MA Starc	Bowler	Australia
MG Johnson	Bowler	Australia
NM Coulter-Nile	Bowler	Australia
PJ Cummins	Bowler	Australia
RJ Harris	Bowler	Australia
SK Warne	Bowler	Australia
SW Tait	Bowler	Australia
CJ Ferguson	Middle-order batsman	Australia
CL White	Middle-order batsman	Australia
MEK Hussey	Middle-order batsman	Australia
TR Birt	Middle-order batsman	Australia
AJ Turner	Allrounder	Australia
DA Warner	Opening batsman	Australia
ML Hayden	Opening batsman	Australia
MP Stoinis	Opening batsman	Australia
AC Voges	Top-order batsman	Australia
AJ Finch	Top-order batsman	Australia
BJ Hodge	Top-order batsman	Australia
DR Martyn	Top-order batsman	Australia
GJ Bailey	Top-order batsman	Australia
MR Marsh	Top-order batsman	Australia
PSP Handscomb	Top-order batsman	Australia
RT Ponting	Top-order batsman	Australia
SE Marsh	Top-order batsman	Australia
JR Philippe	Wicketkeeper batsman	Australia
AC Gilchrist	Wicketkeeper batsman	Australia
BJ Haddin	Wicketkeeper batsman	Australia
BR Dunk	Wicketkeeper batsman	Australia
MS Wade	Wicketkeeper batsman	Australia
TD Paine	Wicketkeeper batsman	Australia
Mashrafe Mortaza	Bowler	Bangladesh
Shakib Al Hasan	Allrounder	Bangladesh
Mohammad Ashraful	Middle-order batsman	Bangladesh
Mustafizur Rahman	Bowler	Bangladesh
AD Mascarenhas	Allrounder	England
BA Stokes	Allrounder	England
CJ Jordan	Bowler	England
JC Archer	Bowler	England
JC Buttler	Wicketkeeper batsman	England
JJ Roy	Opening batsman	England
JL Denly	Top-order batsman	England
JM Bairstow	Opening batsman	England
LS Livingstone	Allrounder	England
MM Ali	Allrounder	England
SW Billings	Wicketkeeper batsman	England
TK Curran	Bowler	England
TS Mills	Bowler	England
A Flintoff	Allrounder	England
LJ Wright	Allrounder	England
SM Curran	Allrounder	England
OA Shah	Middle-order batsman	England
CR Woakes	Bowler	England
HF Gurney	Bowler	England
MA Wood	Bowler	England
EJG Morgan	Middle-order batsman	England
RS Bopara	Middle-order batsman	England
T Banton	Opening batsman	England
KP Pietersen	Top-order batsman	England
MJ Lumb	Top-order batsman	England
A Kumble	Bowler	India
AR Patel	Allrounder	India
Avesh Khan	Bowler	India
BB Sran	Bowler	India
GH Vihari	Middle-order batsman	India
Gurkeerat Singh	Middle-order batsman	India
HV Patel	Bowler	India
Ishan Kishan	Wicketkeeper batsman	India
K Gowtham	Allrounder	India
KH Pandya	Allrounder	India
KK Nair	Middle-order batsman	India
KL Rahul	Opening batsman	India
KV Sharma	Bowler	India
Kuldeep Yadav	Bowler	India
MM Sharma	Bowler	India
Mandeep Singh	Allrounder	India
Mohammed Siraj	Bowler	India
P Awana	Bowler	India
P Negi	Bowler	India
Parvez Rasool	Allrounder	India
R Dhawan	Allrounder	India
RA Tripathi	Top-order batsman	India
RD Chahar	Bowler	India
S Kaul	Bowler	India
SC Ganguly	Allrounder	India
SV Samson	Wicketkeeper batsman	India
V Shankar	Allrounder	India
W Jaffer	Opening batsman	India
AM Nayar	Allrounder	India
IK Pathan	Allrounder	India
Joginder Sharma	Allrounder	India
PP Chawla	Allrounder	India
RA Jadeja	Allrounder	India
S Dube	Allrounder	India
STR Binny	Allrounder	India
Shahbaz Ahmed	Allrounder	India
Shivam Mavi	Allrounder	India
YK Pathan	Allrounder	India
CA Pujara	Top-order batsman	India
KM Jadhav	Middle-order batsman	India
M Kaif	Middle-order batsman	India
MA Agarwal	Top-order batsman	India
MK Tiwary	Middle-order batsman	India
RD Gaikwad	Top-order batsman	India
RV Uthappa	Top-order batsman	India
SA Yadav	Middle-order batsman	India
SK Raina	Middle-order batsman	India
SS Tiwary	Middle-order batsman	India
A Mishra	Bowler	India
A Mithun	Bowler	India
A Nehra	Bowler	India
AB Agarkar	Bowler	India
AB Dinda	Bowler	India
Arshdeep Singh	Bowler	India
B Kumar	Bowler	India
CV Varun	Bowler	India
DL Chahar	Bowler	India
